F,r,expiry,strike,type,dollar_bid,dollar_ask,dollar_mid,time
1141.481538,0,31/12/2021,1280,Call,371.5522407,401.2307607,386.3915007,0.98630137
1141.481538,0,31/12/2021,3200,Call,175.7881569,202.0422323,188.9151946,0.98630137
1141.481538,0,31/12/2021,6000,Call,91.88926384,118.1433392,105.0163015,0.98630137
1141.481538,0,31/12/2021,1040,Call,433.7629846,471.4318753,452.59743,0.98630137
1141.481538,0,31/12/2021,8000,Call,66.20592923,89.03555999,77.62074461,0.98630137
1141.481538,0,31/12/2021,5000,Call,111.8651908,139.2607477,125.5629692,0.98630137
1141.481538,0,31/12/2021,1920,Call,273.9555692,299.0681631,286.5118661,0.98630137
1141.481538,0,31/12/2021,1120,Call,401.2307607,448.6022446,424.9165027,0.98630137
1141.481538,0,31/12/2021,960,Call,456.5926153,684.888923,570.7407692,0.98630137
1141.481538,0,31/12/2021,3840,Call,147.2511184,173.5051938,160.3781561,0.98630137
1141.481538,0,31/12/2021,800,Call,498.2566915,1141.481538,819.8691149,0.98630137
1141.481538,0,31/12/2021,1600,Call,312.1952007,339.0200169,325.6076088,0.98630137
1141.481538,0,31/12/2021,7000,Call,77.62074461,101.5918569,89.60630076,0.98630137
1141.481538,0,31/12/2021,640,Call,577.5896584,1000.508568,789.0491134,0.98630137
1141.481538,0,31/12/2021,2560,Call,214.5985292,241.4233454,228.0109373,0.98630137
