K,IV,S,T
55,1.017583037,131.97,0.207843137
60,0.923828887,131.97,0.207843137
65,0.871095039,131.97,0.207843137
70,0.802736348,131.97,0.207843137
75,0.736330762,131.97,0.207843137
80,0.690432783,131.97,0.207843137
85,0.632816172,131.97,0.207843137
90,0.587894746,131.97,0.207843137
95,0.538578833,131.97,0.207843137
100,0.517338811,131.97,0.207843137
105,0.482182913,131.97,0.207843137
110,0.456060127,131.97,0.207843137
115,0.427495959,131.97,0.207843137
120,0.415655258,131.97,0.207843137
125,0.407110421,131.97,0.207843137
130,0.403448348,131.97,0.207843137
135,0.40320421,131.97,0.207843137
140,0.407598698,131.97,0.207843137
145,0.412359392,131.97,0.207843137
150,0.421026298,131.97,0.207843137
155,0.432378723,131.97,0.207843137
160,0.446050461,131.97,0.207843137
165,0.459355992,131.97,0.207843137
170,0.476079458,131.97,0.207843137
175,0.492924993,131.97,0.207843137
180,0.506840869,131.97,0.207843137
185,0.522953989,131.97,0.207843137
190,0.536137451,131.97,0.207843137
195,0.551518157,131.97,0.207843137
200,0.566898862,131.97,0.207843137
210,0.593754063,131.97,0.207843137
215,0.604984419,131.97,0.207843137
220,0.615238223,131.97,0.207843137
225,0.627933408,131.97,0.207843137
230,0.63574583,131.97,0.207843137
